t,x,y
1.522096E1,1.263913E-1,-1.291405E-3
1.525426E1,1.259594E-1,-1.267475E-3
1.528757E1,1.252024E-1,-1.239287E-3
1.532088E1,1.241834E-1,-1.137957E-3
1.535418E1,1.234560E-1,-1.021324E-3
1.538749E1,1.230821E-1,-9.463714E-4
1.542080E1,1.224030E-1,-8.691491E-4
1.545410E1,1.214417E-1,-8.525062E-4
1.548741E1,1.206767E-1,-8.313492E-4
1.552071E1,1.198460E-1,-7.672806E-4
1.555402E1,1.193614E-1,-7.390600E-4
1.558733E1,1.183682E-1,-7.006843E-4
1.562063E1,1.170097E-1,-7.455837E-4
1.565394E1,1.160581E-1,-8.029300E-4
1.568725E1,1.151199E-1,-8.229751E-4
1.572055E1,1.146640E-1,-8.410639E-4
1.575386E1,1.132862E-1,-8.604883E-4
1.578716E1,1.124855E-1,-9.000663E-4
1.582047E1,1.117281E-1,-1.018086E-3
1.585378E1,1.113079E-1,-1.049225E-3
1.588708E1,1.104156E-1,-1.133278E-3
1.592039E1,1.089102E-1,-1.170389E-3
1.595370E1,1.078833E-1,-1.226726E-3
1.598700E1,1.070538E-1,-1.283410E-3
1.602031E1,1.062355E-1,-1.317694E-3
1.605361E1,1.057807E-1,-1.341490E-3
1.608692E1,1.047486E-1,-1.337579E-3
1.612023E1,1.036249E-1,-1.301013E-3
1.615353E1,1.030548E-1,-1.282056E-3
1.618684E1,1.013190E-1,-1.256549E-3
1.622015E1,1.002094E-1,-1.240171E-3
1.625345E1,9.902988E-2,-1.181333E-3
1.628676E1,9.774890E-2,-1.086585E-3
1.632006E1,9.713537E-2,-1.052616E-3
1.635337E1,9.551269E-2,-9.618219E-4
1.638668E1,9.475251E-2,-9.495460E-4
1.641998E1,9.419232E-2,-9.216715E-4
1.645329E1,9.400185E-2,-8.981009E-4
1.648660E1,9.373071E-2,-8.127211E-4
1.651990E1,9.332038E-2,-6.806741E-4
1.655321E1,9.316844E-2,-6.717670E-4
1.658651E1,9.298721E-2,-6.894789E-4
1.661982E1,9.283715E-2,-7.016143E-4
1.665313E1,9.259884E-2,-7.111755E-4
1.668643E1,9.209435E-2,-6.932467E-4
1.671974E1,9.170864E-2,-6.973299E-4
1.675305E1,9.132245E-2,-7.226768E-4
1.678635E1,9.129266E-2,-7.438192E-4
1.681966E1,9.139910E-2,-8.312663E-4
1.685296E1,9.169428E-2,-9.540225E-4
1.688627E1,9.196638E-2,-9.523019E-4
1.691958E1,9.210110E-2,-9.578613E-4
1.695288E1,9.219992E-2,-9.893449E-4
1.698619E1,9.223819E-2,-1.056548E-3
1.701950E1,9.217679E-2,-1.135984E-3
1.705280E1,9.205943E-2,-1.171482E-3
1.708611E1,9.197570E-2,-1.149321E-3
1.711941E1,9.198960E-2,-1.123310E-3
1.715272E1,9.204708E-2,-1.110103E-3
1.718603E1,9.207702E-2,-1.099490E-3
1.721933E1,9.215594E-2,-1.102965E-3
1.725264E1,9.217807E-2,-1.078465E-3
1.728595E1,9.215890E-2,-1.017852E-3
1.731925E1,9.214844E-2,-9.869325E-4
1.735256E1,9.211213E-2,-8.955748E-4
1.738586E1,9.207788E-2,-8.399821E-4
1.741917E1,9.210749E-2,-7.951984E-4
1.745248E1,9.212522E-2,-7.349407E-4
1.748578E1,9.211484E-2,-7.052944E-4
1.751909E1,9.209661E-2,-6.648973E-4
1.755240E1,9.204615E-2,-6.273644E-4
1.758570E1,9.203496E-2,-6.467911E-4
1.761901E1,9.203368E-2,-6.761052E-4
1.765231E1,9.204417E-2,-6.951722E-4
1.768562E1,9.206349E-2,-7.136401E-4
1.771893E1,9.210070E-2,-7.541599E-4
1.775223E1,9.208843E-2,-7.927669E-4
1.778554E1,9.205108E-2,-8.426104E-4
