R,k,m,I,final_com_velocity,end_time,motor_angle,bottom_height
7.000000000000000146e-03,7.970660072450475127e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.294190219811568454e+00,3.586406710076393833e-02,2.272462127206735616e+01,9.249999999999997113e-02
7.000000000000000146e-03,8.633107429217250319e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.272044629072202504e+00,3.577374649136483981e-02,2.268626907576793528e+01,9.250000000000001277e-02
7.000000000000000146e-03,9.350611267692994443e+04,1.959999999999999937e-04,5.570319999999999020e-09,7.260591335774911670e+00,3.569520898676732668e-02,2.265567793555763032e+01,9.249999999999877764e-02
7.000000000000000146e-03,1.012774737212259060e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.258952362189983631e+00,3.562664938708288986e-02,2.262902359769411831e+01,9.249999999999997113e-02
7.000000000000000146e-03,1.096947182350816292e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.271127408244798751e+00,3.556581073101363483e-02,2.260195868192788282e+01,9.249999999999999889e-02
7.000000000000000146e-03,1.188115260634906881e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.295809812615696721e+00,3.551036798235086833e-02,2.257035414042958266e+01,9.249999999999997113e-02
7.000000000000000146e-03,1.286860384224136797e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.332447618659339028e+00,3.545779847863588657e-02,2.253034577008646977e+01,9.250000000000105360e-02
7.000000000000000146e-03,1.393812286865626520e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.379514645945768336e+00,3.540590661005166284e-02,2.247929629480376335e+01,9.249999999999840294e-02
7.000000000000000146e-03,1.509653039936322020e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.431853105924009384e+00,3.535302602406852762e-02,2.241619496946164602e+01,9.249999999999999889e-02
7.000000000000000146e-03,1.635121402261458861e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.484150567272446430e+00,3.529818665653700754e-02,2.234196817339928387e+01,9.249999999999995726e-02
7.000000000000000146e-03,1.771017531449649832e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.527916230056806768e+00,3.524119116165037174e-02,2.225965490852272666e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.918208086790413945e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.559600674559818323e+00,3.518310696168721469e-02,2.217426288320858419e+01,9.249999999999997113e-02
7.000000000000000146e-03,2.077631756257259403e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.573448279960358853e+00,3.512553008314391045e-02,2.209169076250408992e+01,9.249999999999995726e-02
7.000000000000000146e-03,2.250305242864021857e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.567610544512395343e+00,3.507052968964701617e-02,2.201827742872735882e+01,9.249999999999880540e-02
7.000000000000000146e-03,2.437329748551585071e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.542786792878784397e+00,3.502020997428772348e-02,2.195943549456042376e+01,9.249999999999997113e-02
7.000000000000000146e-03,2.639897996955213021e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.503707055069488874e+00,3.497629714758108965e-02,2.191841274184992372e+01,9.249999999999999889e-02
7.000000000000000146e-03,2.859301839839105378e+05,1.959999999999999937e-04,5.570319999999999020e-09,7.458855867030377063e+00,3.493993289806879288e-02,2.189577919813377704e+01,9.249999999999998501e-02
