sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,0.5,0.16722222223,391.25918506582883,0.2517241379310345,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999002470741,0.008409906177530036,0.048668684021108514,0.04999999999997832,2.0816136285901417,
mass,0.5,0.16722222223,391.25918506582883,0.2672413793103448,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999005512603,0.008232444265218814,0.04960640570446954,0.04999999999999998,2.031540667364903,
mass,0.5,0.16722222223,391.25918506582883,0.2672413793103448,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999005512651,0.008232444265219324,0.049606405704468316,0.049999999999998726,2.031540667364813,
mass,0.5,0.16722222223,391.25918506582883,0.2672413793103448,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999003440435,0.008449021055813681,0.04915702917972871,0.050000004122899185,2.0311873922323502,
mass,0.5,0.16722222223,391.25918506582883,0.2672413793103448,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999796090461,0.00823244400322279,0.04960640710382754,0.049999999996872664,2.031540661073745,
mass,0.5,0.16722222223,391.25918506582883,0.2827586206896552,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999000708767,0.015000009958664852,0.044782017532760766,0.05000000499203274,1.8099964784464744,
mass,0.5,0.16722222223,391.25918506582883,0.2827586206896552,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999004878778,0.008067163181993742,0.05051590409749937,0.0499999999977945,1.9850981755317296,
mass,0.5,0.16722222223,391.25918506582883,0.2827586206896552,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999008967284,0.01500000995171503,0.0447820175339687,0.05000000499219746,1.8099964789870047,
mass,0.5,0.16722222223,391.25918506582883,0.2827586206896552,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
mass,0.5,0.16722222223,391.25918506582883,0.2982758620689655,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999080031913,0.014999999492832917,0.04558185175033157,0.050000003026412734,1.7594725558292947,
mass,0.5,0.16722222223,391.25918506582883,0.2982758620689655,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999045099053,0.007912586814813312,0.05139987171014998,0.04999999999633532,1.9418395646190751,
mass,0.5,0.16722222223,391.25918506582883,0.2982758620689655,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.10000030909692754,0.014999975811980646,0.04558185392976111,0.05000000301144488,1.7594745546218378,
mass,0.5,0.16722222223,391.25918506582883,0.2982758620689655,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.16163900694876288,0.011492443092650122,0.0497537018836825,0.050000023137503,1.9163482654740367,
mass,0.5,0.16722222223,391.25918506582883,0.3137931034482758,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999005982481,0.00776748464143356,0.05226062845587602,0.049999999999365496,1.9013930038104405,
mass,0.5,0.16722222223,391.25918506582883,0.3137931034482758,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999926886126,0.007767484495236038,0.052260629805900564,0.04999999988565432,1.9013929904312685,
mass,0.5,0.16722222223,391.25918506582883,0.3137931034482758,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.10000029777143064,0.014999973138539005,0.04637185994220504,0.04999999523900529,1.712057183631361,
mass,0.5,0.16722222223,391.25918506582883,0.3137931034482758,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.0999999900329912,0.007767484643244651,0.052260628448671194,0.0499999999999665,1.9013930038627342,
mass,0.5,0.16722222223,391.25918506582883,0.3293103448275862,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999006469584,0.007630820860426746,0.05310018957960455,0.04999999999875625,1.8634459149361287,
mass,0.5,0.16722222223,391.25918506582883,0.3293103448275862,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999006815166,0.007630820860968289,0.053100189578885154,0.04999999999999996,1.86344591499928,
mass,0.5,0.16722222223,391.25918506582883,0.3293103448275862,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000707434,0.015000009933904174,0.047153068423060954,0.05000000498773429,1.6674015226194967,
mass,0.5,0.16722222223,391.25918506582883,0.3293103448275862,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999003380754,0.007630820861193425,0.05310018957446684,0.04999999999998957,1.863445915020401,
mass,0.5,0.16722222223,391.25918506582883,0.3448275862068965,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999007154459,0.007501715982470441,0.05392031777243348,0.049999999985995,1.8277332514434332,
mass,0.5,0.16722222223,391.25918506582883,0.3448275862068965,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999005305621,0.007501715983577064,0.05392031777015321,0.04999999999978483,1.827733252190789,
mass,0.5,0.16722222223,391.25918506582883,0.3448275862068965,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.0999999901018543,0.015000009874934054,0.04792637279849982,0.05000000472886673,1.6252208614687687,
mass,0.5,0.16722222223,391.25918506582883,0.3448275862068965,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999110931293,0.007501715979302518,0.0539203179013065,0.04999999999890429,1.8277332514930151,
mass,0.5,0.16722222223,391.25918506582883,0.3603448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999377693987,0.007379417313246103,0.05472256550137701,0.05000000000380976,1.7940285045243547,
mass,0.5,0.16722222223,391.25918506582883,0.3603448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999802296287,0.007379417291268045,0.05472256604791581,0.04999999999739379,1.7940285016074342,
mass,0.5,0.16722222223,391.25918506582883,0.3603448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.10000001559045264,0.01500000729024632,0.04869260209421566,0.050000004563040094,1.5852631349021833,
mass,0.5,0.16722222223,391.25918506582883,0.3603448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999003819655,0.007379417339423099,0.054722564999564474,0.04999999999999775,1.7940285063239378,
