sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,2.0,0.66888888892,1565.0367402633153,0.2672413793103448,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999005665036,0.00613002013037378,0.029066154155326276,0.07999999999996954,6.57427095188182,
mass,2.0,0.66888888892,1565.0367402633153,0.2827586206896552,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999562911799,0.006020082689574633,0.029499028550848867,0.08000000000016781,6.443567160391166,
mass,2.0,0.66888888892,1565.0367402633153,0.2827586206896552,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005967003,0.006020083247429978,0.029499027248433726,0.07999999999676868,6.443567178769882,
mass,2.0,0.66888888892,1565.0367402633153,0.2827586206896552,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999005706408,0.006020083249056667,0.029499027245339707,0.07999999999866102,6.443567178933304,
mass,2.0,0.66888888892,1565.0367402633153,0.2827586206896552,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.16000001964674304,0.00602008027926557,0.029499034175247758,0.0799999999999937,6.443567079499978,
mass,2.0,0.66888888892,1565.0367402633153,0.2982758620689655,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999006198012,0.005917973307206867,0.02991593452864627,0.08000000000001051,6.322044009310752,
mass,2.0,0.66888888892,1565.0367402633153,0.2982758620689655,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900617054,0.005917973306027482,0.02991593453052614,0.07999999999322989,6.3220440085391205,
mass,2.0,0.66888888892,1565.0367402633153,0.2982758620689655,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1599999924664523,0.005917973079725564,0.029915935078895298,0.07999999999961072,6.322044001466331,
mass,2.0,0.66888888892,1565.0367402633153,0.2982758620689655,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900568526,0.005917973307175685,0.02991593452846354,0.07999999999978649,6.32204400929623,
mass,2.0,0.66888888892,1565.0367402633153,0.3137931034482758,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.160000023983658,0.005822750837847384,0.030318306325560575,0.07999999999879116,6.208628716569946,
mass,2.0,0.66888888892,1565.0367402633153,0.3137931034482758,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900644271,0.005822753873014981,0.03031829872707931,0.08000000000000002,6.20862882258086,
mass,2.0,0.66888888892,1565.0367402633153,0.3137931034482758,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999214401744,0.005822753688583736,0.030318299189619605,0.07999999999984127,6.208628816070731,
mass,2.0,0.66888888892,1565.0367402633153,0.3137931034482758,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999006321317,0.005822753874098228,0.030318298724006203,0.07999999998574824,6.2086288207533515,
mass,2.0,0.66888888892,1565.0367402633153,0.3293103448275862,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1600000391168237,0.005733636594005809,0.030707362730213267,0.07999999999999997,6.102419328669589,
mass,2.0,0.66888888892,1565.0367402633153,0.3293103448275862,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900638734,0.005733640750384872,0.030707351973261982,0.07999999999985564,6.102419476412775,
mass,2.0,0.66888888892,1565.0367402633153,0.3293103448275862,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999223912711,0.005733640566351535,0.03070735244970878,0.0799999999999997,6.102419469878935,
