R,k,final_com_velocity,end_time,motor_angle,bottom_height
7.000000000000000146e-03,4.891444195593016775e+04,7.595502026267770823e+00,3.653029394259362655e-02,2.330612303590590528e+01,9.250000000000001277e-02
7.000000000000000146e-03,5.176781763359593606e+04,7.570494921337824756e+00,3.640189808890853529e-02,2.322095039624364787e+01,9.250000000000017930e-02
7.000000000000000146e-03,5.478764216424524784e+04,7.545504178923226668e+00,3.628358449075010789e-02,2.314629794855247269e+01,9.250000000000001277e-02
7.000000000000000146e-03,5.798362517738000315e+04,7.521351818748753360e+00,3.617494902149883534e-02,2.308124426316846822e+01,9.249999999999999889e-02
7.000000000000000146e-03,6.136604270415229985e+04,7.498878856093396550e+00,3.607550357955687653e-02,2.302471641718470252e+01,9.250000000000024869e-02
7.000000000000000146e-03,6.494577021784621320e+04,7.478965667132315254e+00,3.598467520337404052e-02,2.297550170380320722e+01,9.249999999999998501e-02
7.000000000000000146e-03,6.873431760174235387e+04,7.462419921414919166e+00,3.590180339222336092e-02,2.293226691802831496e+01,9.250000000000004052e-02
7.000000000000000146e-03,7.274386615679826355e+04,7.449994527238199993e+00,3.582614728043521934e-02,2.289358511722029377e+01,9.250000000000005440e-02
7.000000000000000146e-03,7.698730776813649572e+04,7.442350190173406155e+00,3.575690102458599362e-02,2.285798592507756766e+01,9.249999999999997113e-02
7.000000000000000146e-03,8.147828635626974574e+04,7.439950061500329781e+00,3.569320754477203761e-02,2.282400025328811211e+01,9.250000000000038747e-02
7.000000000000000146e-03,8.623124174634306110e+04,7.443011355970620357e+00,3.563417128287395264e-02,2.279021119969478804e+01,9.249999999999999889e-02
7.000000000000000146e-03,9.126145609644486103e+04,7.451387983035983709e+00,3.557889265771362747e-02,2.275532875365903962e+01,9.250000000000097033e-02
7.000000000000000146e-03,9.658510303426683822e+04,7.464707516263836773e+00,3.552652727926532139e-02,2.271827400655562101e+01,9.250000000000140055e-02
7.000000000000000146e-03,1.022192996601041959e+05,7.482326654544015021e+00,3.547631748615987651e-02,2.267822744306905847e+01,9.250000000000085931e-02
7.000000000000000146e-03,1.081821615833977849e+05,7.503473502916690130e+00,3.542760066131186297e-02,2.263467047660871501e+01,9.250000000000052625e-02
7.000000000000000146e-03,1.144928611697793822e+05,7.527030456062838937e+00,3.537984065347881540e-02,2.258743448035151147e+01,9.250000000000105360e-02
7.000000000000000146e-03,1.211716891859010648e+05,7.551607478050966549e+00,3.533264606521193535e-02,2.253671912400637822e+01,9.250000000000145606e-02
7.000000000000000146e-03,1.282401200402534596e+05,7.575774443003052028e+00,3.528579296642967572e-02,2.248308074513585098e+01,9.249999999999904132e-02
7.000000000000000146e-03,1.357208808297453215e+05,7.598176700891409396e+00,3.523922897737163940e-02,2.242740229020105858e+01,9.249999999999998501e-02
7.000000000000000146e-03,1.436380244140445429e+05,7.617430855254593958e+00,3.519307149764275278e-02,2.237084500785741881e+01,9.249999999999999889e-02
7.000000000000000146e-03,1.520170067526400962e+05,7.632285146459503622e+00,3.514758628770516674e-02,2.231477932439596046e+01,9.249999999999995726e-02
7.000000000000000146e-03,1.608847687532850832e+05,7.641753065280462387e+00,3.510316359423616694e-02,2.226069428928292737e+01,9.250000000000009603e-02
7.000000000000000146e-03,1.702698228949862823e+05,7.645239399512805178e+00,3.506029049699494610e-02,2.221008102073497525e+01,9.249999999999997113e-02
7.000000000000000146e-03,1.802023449040636187e+05,7.642761821740858608e+00,3.501949733381541641e-02,2.216431849809000454e+01,9.250000000000001277e-02
7.000000000000000146e-03,1.907142707780390629e+05,7.634906433538343862e+00,3.498130302180649243e-02,2.212453571801750130e+01,9.250000000000001277e-02
7.000000000000000146e-03,2.018393994693176355e+05,7.622928046208751418e+00,3.494617194248501868e-02,2.209146364783717686e+01,9.250000000000024869e-02
7.000000000000000146e-03,2.136135015588256938e+05,7.608614522835558169e+00,3.491442973829134849e-02,2.206532089133375507e+01,9.249999999999998501e-02
7.000000000000000146e-03,2.260744342690081685e+05,7.594275084793461694e+00,3.488620424332094377e-02,2.204571477345777808e+01,9.249999999999998501e-02
7.000000000000000146e-03,2.392622631860061665e+05,7.582486970649848779e+00,3.486137612981893286e-02,2.203160465127530543e+01,9.250000000000008216e-02
7.000000000000000146e-03,2.532193910823712067e+05,7.575675124783982639e+00,3.483955517094485671e-02,2.202135395208273749e+01,9.250000000000009603e-02
7.000000000000000146e-03,2.679906942545251804e+05,7.575686602500701916e+00,3.482008666256732748e-02,2.201284916367751521e+01,9.249999999999999889e-02
7.000000000000000146e-03,2.836236668133365456e+05,7.583354767670923202e+00,3.480214053746551184e-02,2.200378376907268319e+01,9.249999999999998501e-02
7.000000000000000146e-03,3.001685733917389880e+05,7.598182024095877729e+00,3.478482187661028485e-02,2.199202613839388931e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.176786107604017016e+05,7.618167996980706569e+00,3.476730558043993058e-02,2.197601600484737006e+01,9.250000000000038747e-02
7.000000000000000146e-03,3.362100788710896159e+05,7.640133028668026682e+00,3.474903544110053560e-02,2.195516227454210423e+01,9.249999999999999889e-02
7.000000000000000146e-03,3.558225618776662159e+05,7.660132013574258991e+00,3.472982077179319338e-02,2.193001330944683147e+01,9.250000000000001277e-02
7.000000000000000146e-03,3.765791197167843929e+05,7.674338490289957626e+00,3.470988152057569165e-02,2.190222579718982487e+01,9.250000000000017930e-02
7.000000000000000146e-03,3.985464908642413793e+05,7.679777567586932641e+00,3.468983018930386908e-02,2.187429681676279358e+01,9.249999999999998501e-02
7.000000000000000146e-03,4.217953069189280504e+05,7.675266277405674131e+00,3.467053144886182020e-02,2.184903696570658127e+01,9.250000000000001277e-02
7.000000000000000146e-03,4.464003197043222026e+05,7.661887797178312809e+00,3.465290856330471153e-02,2.182894540732155164e+01,9.250000000000001277e-02
7.000000000000000146e-03,4.724406416177180363e+05,7.643065823482138477e+00,3.463771412495327690e-02,2.181556064047474308e+01,9.250000000000002665e-02
7.000000000000000146e-03,5.000000000000000000e+05,7.624097813145604086e+00,3.462530579453348273e-02,2.180894539282748212e+01,9.249999999999995726e-02
